_Acila_castrensis, Acila castrensis
_Aculamprotula_scripta, Aculamprotula scripta
_Anodonta_cygnea, Anodonta cygnea
_Argopecten_irradians, Argopecten irradians
_Bathymodiolus_platifrons, Bathymodiolus platifrons
_Conus_loroisii, Conus loroisii
_Corbicula_fluminea, Corbicula fluminea
_Cumberlandia_monodonta, Cumberlandia monodonta
_Ennucula_cumingii, Ennucula cumingii
_Hiatula_acuta, Hiatula acuta
_Limecola_balthica, Limecola balthica
_Macridiscus_melanaegis, Macridiscus melanaegis
_Modiolus_philippinarum, Modiolus philippinarum
_Mytilus_galloprovincialis, Mytilus galloprovincialis
_Nautilus_pompilius, Nautilus pompilius
_Neotrigonia_margaritacea, Neotrigonia margaritacea
_Nucula_ulcata, Nucula ulcata
_Panopea_abrupta, Panopea abrupta
_Ruditapes_philippinarum, Ruditapes philippinarum
_Saccostrea_glomerata, Saccostrea glomerata
_Semimytilus_algosus, Semimytilus algosus
_Solemya_velum, Solemya velum
_Solenaia_rivularis, Solenaia rivularis
_Unio_elongatulus, Unio elongatulus
