geneID,KO
TRINITY_DN123350_c0_g1,K10382
TRINITY_DN87639_c0_g1,K19007
TRINITY_DN85490_c0_g1,K12161
TRINITY_DN103668_c0_g6,K10419
TRINITY_DN102388_c0_g1,K13728
TRINITY_DN107505_c1_g5,K18762
TRINITY_DN122829_c0_g1,K05637
TRINITY_DN123410_c0_g1,K10408
TRINITY_DN89232_c0_g2,K06934
TRINITY_DN102669_c0_g1,K03109
TRINITY_DN122747_c0_g1,K24938
TRINITY_DN123345_c2_g1,K11728
TRINITY_DN123112_c1_g2,K16542
TRINITY_DN122775_c0_g1,K10408
TRINITY_DN121722_c1_g1,K11653
TRINITY_DN121553_c0_g2,K11138
TRINITY_DN122149_c0_g1,K10706
TRINITY_DN122279_c0_g1,K13912
TRINITY_DN111398_c0_g3,K22754
TRINITY_DN122821_c0_g1,K11540
TRINITY_DN121832_c1_g1,K06095
TRINITY_DN121832_c1_g1,K06095
TRINITY_DN120961_c0_g1,K13100
TRINITY_DN119700_c1_g1,K11306
TRINITY_DN122090_c0_g1,K06249
TRINITY_DN118663_c0_g1,K10408
TRINITY_DN121354_c0_g1,K06560
TRINITY_DN82330_c0_g1,K15261
TRINITY_DN105230_c1_g1,K13708
TRINITY_DN123107_c1_g2,K05695
TRINITY_DN122187_c0_g1,K13133
TRINITY_DN122432_c0_g1,K24734
TRINITY_DN116236_c0_g2,K07207
TRINITY_DN122432_c0_g1,K24734
TRINITY_DN121510_c1_g2,K15271
TRINITY_DN123201_c0_g1,K25607
TRINITY_DN122985_c1_g1,K16307
TRINITY_DN122824_c2_g1,K02999
TRINITY_DN122910_c0_g1,K07532
TRINITY_DN122882_c0_g2,K08595
TRINITY_DN106153_c0_g1,K09188
TRINITY_DN121145_c0_g1,K19013
TRINITY_DN109419_c2_g2,K13297
TRINITY_DN122735_c0_g2,K24333
TRINITY_DN87061_c0_g2,K05694
TRINITY_DN116672_c0_g1,K04977
TRINITY_DN122418_c0_g2,K25392
TRINITY_DN121744_c0_g1,K16770
TRINITY_DN122549_c1_g2,K11837
TRINITY_DN120091_c0_g1,K13240
TRINITY_DN100356_c0_g1,K22754
TRINITY_DN116440_c1_g2,K17592
TRINITY_DN118583_c0_g1,K22870
TRINITY_DN123340_c4_g3,K10414
TRINITY_DN123032_c0_g2,K19526
TRINITY_DN122944_c0_g1,K16175
TRINITY_DN122294_c0_g2,K24186
TRINITY_DN120147_c0_g1,K03018
TRINITY_DN123052_c1_g2,K05099
TRINITY_DN115522_c1_g2,K23390
TRINITY_DN121426_c0_g1,K11424
TRINITY_DN115816_c0_g1,K11427
TRINITY_DN122756_c0_g1,K18728
TRINITY_DN115816_c0_g1,K11427
TRINITY_DN111318_c0_g2,K10408
TRINITY_DN122098_c0_g1,K17916
TRINITY_DN119946_c0_g1,K22525
TRINITY_DN119100_c0_g1,K20826
TRINITY_DN120784_c0_g1,K18621
TRINITY_DN91122_c0_g1,K21440
TRINITY_DN123466_c0_g1,K10408
TRINITY_DN123251_c4_g1,K05658
TRINITY_DN106673_c0_g2,K04851
TRINITY_DN118574_c0_g1,K00548
TRINITY_DN119647_c0_g1,K15711
TRINITY_DN119932_c0_g1,K04946
TRINITY_DN119647_c0_g1,K15711
TRINITY_DN121252_c0_g2,K05628
TRINITY_DN118873_c0_g1,K19871
TRINITY_DN122364_c1_g1,K08836
TRINITY_DN121779_c0_g1,K14005
TRINITY_DN115935_c0_g2,K06530
TRINITY_DN123116_c7_g5,K22754
TRINITY_DN122076_c0_g1,K08582
TRINITY_DN74237_c0_g1,K22754
TRINITY_DN111643_c0_g1,K10401
TRINITY_DN121566_c0_g3,K20879
TRINITY_DN123462_c2_g4,K19326
TRINITY_DN119104_c0_g1,K19656
TRINITY_DN121567_c1_g1,K08739
TRINITY_DN121596_c0_g2,K20129
TRINITY_DN121140_c0_g1,K03010
TRINITY_DN114763_c0_g1,K09228
TRINITY_DN120724_c0_g3,K18465
TRINITY_DN120301_c0_g1,K23820
TRINITY_DN113016_c0_g1,K11126
TRINITY_DN111596_c0_g2,K08654
TRINITY_DN122314_c1_g3,K13139
TRINITY_DN121434_c0_g2,K14802
TRINITY_DN121755_c0_g1,K24680
TRINITY_DN120262_c0_g1,K07526
TRINITY_DN109165_c0_g1,K11997
TRINITY_DN122347_c0_g1,K10352
TRINITY_DN100321_c0_g1,K04307
TRINITY_DN120532_c0_g1,K18460
TRINITY_DN118190_c0_g7,K24842
TRINITY_DN109586_c0_g2,K11348
TRINITY_DN117717_c0_g2,K05725
TRINITY_DN118171_c0_g1,K15690
TRINITY_DN120395_c0_g2,K15293
TRINITY_DN118979_c1_g2,K10356
TRINITY_DN119778_c0_g2,K11855
TRINITY_DN122928_c1_g2,K09228
TRINITY_DN119870_c1_g2,K11859
TRINITY_DN119620_c0_g1,K01231
TRINITY_DN116838_c0_g1,K24971
TRINITY_DN123342_c1_g1,K16751
TRINITY_DN106673_c0_g2,K04851
TRINITY_DN120286_c0_g2,K13184
TRINITY_DN121672_c0_g1,K04512
TRINITY_DN122726_c0_g3,K13192
TRINITY_DN121894_c1_g2,K15909
TRINITY_DN118139_c0_g1,K19901
TRINITY_DN122723_c4_g3,K16498
TRINITY_DN122834_c0_g1,K16461
TRINITY_DN121557_c0_g1,K20092
TRINITY_DN123018_c1_g3,K16478
TRINITY_DN123018_c1_g3,K16478
TRINITY_DN114722_c0_g1,K23195
